class,feature029,feature046,feature060,feature062,feature064,feature065,feature066,feature068,feature097,feature104,feature125,feature170,feature268,feature332,feature342,feature442,feature511,feature563
X0,69.9,152.7964,13.7,10.1538,7.8629,26.3,30.7798,1.1443,-0.0789,-0.0065,15.88,0.544,0.0855,0.0937,2.7517,1.0323,68.0851,264.272
X0,70.3111,135.4527,-2.5345,10.4187,14.0791,22.5345,28.3035,1.0462,-0.1979,-0.0119,15.77,0.497,0.0711,0.1187,1.2576,0.6373,37.0137,260.832
X0,69.7889,136.2036,0.0327,10.4965,11.9219,19.9673,27.0626,0.8456,-0.1336,-0.0121,15.73,0.319,0.1064,0.1112,1.3536,0.6927,32.2981,259.566
X0,65.0778,133.5982,22.4736,10.3268,9.9538,17.5264,22.8371,1.1173,0.1309,-0.0016,15.84,0.554,0.0322,0.0243,7.5898,1.1054,65.1163,264.272
X0,67.7556,129.3018,4.1455,10.1576,13.9697,15.8545,20.187,1.053,-0.2895,-0.0075,15.88,0.421,0.0341,0.0858,1.826,0.9361,92.4623,264.272
X0,64.0778,125.9,0.6782,10.7035,16.6618,19.3218,27.7301,0.9699,0.0444,-0.0078,15.9,0.363,0.0284,0.077,1.939,0.6302,50.0803,261.714
X0,71.1444,127.5673,4.7573,10.8015,7.2728,15.2427,19.8525,0.9235,0.2496,-0.0095,15.77,0.46,0.1283,0.0783,3.0107,0.5967,42.0499,264.272
X0,67.2667,140.2845,1.0291,10.376,16.7036,18.9709,26.5379,1.0115,0.1928,-0.0134,15.75,0.287,0.044,0.0848,2.9055,0.78,46.1825,264.272
X0,67.6333,133.2891,-1.4027,10.4326,15.4681,21.4027,28.4909,0.8751,0.0338,-0.0113,15.8,0.612,0.0777,0.0699,1.7381,0.7053,30.9051,268.65
X0,62.9778,145.8309,-5.0245,10.0681,8.8157,25.0245,32.3293,0.7652,0.1703,-0.003,15.73,0.183,0.0817,0.0937,3.109,0.8962,113.3333,268.11
X0,67.6333,146.64,-4.6582,10.4763,13.231,24.6582,29.2938,1.0728,-0.0664,-0.0123,15.84,0.488,0.0226,0.03,2.0846,0.6259,38.9452,264.272
X0,65.0778,144.2682,-2.6355,10.2189,18.5573,22.6355,34.0617,0.7936,0.0289,-0.0103,15.74,0.603,0.0648,0.1062,2.922,0.9163,51.5188,248.962
X0,71.1667,132.4845,1.0145,10.4875,17.2272,18.9855,24.5151,1.1927,0.1439,-0.0114,15.7,0.154,0.0603,0.0921,1.6747,0.6066,51.0451,269.896
X0,67.0222,135.0527,1.0336,10.4132,9.9475,18.9664,24.3057,0.8924,0.1208,-0.0119,15.95,0.256,0.0362,0.0817,3.2653,1.1255,36.2869,270.404
X0,72.8222,119.7282,27.4627,10.6245,10.4509,12.5373,17.8135,1.1733,-0.0157,-0.01,15.88,0.175,0.0608,0.0942,2.0858,0.596,36.8618,265.122
X0,64,125.6609,27.6182,10.3543,7.4273,12.3818,16.218,1.0797,-0.0811,-0.0037,15.66,0.117,0.0591,0.0529,2.4065,0.4221,92.2034,260.506
X0,72.3222,129.0473,-1.0464,10.6571,11.5009,21.0464,28.2025,0.9651,-0.0795,-0.013,15.73,0.397,0.0777,0.0894,2.7028,0.9444,37.7649,264.272
X0,73.6889,147.1345,3.7136,9.9946,9.1571,16.2864,22.1972,0.8211,-0.0861,-0.0107,15.75,0.775,0.12,0.1,1.7899,0.7233,44.9649,264.272
X0,72.9778,143.7882,0.2055,10.2887,7.1904,19.7945,23.4023,0.9216,0.041,-0.0101,15.68,0.158,0.0599,0.1051,1.3739,0.9175,39.604,266.572
X0,70.7778,126.7018,1.9591,10.7344,14.3136,18.0409,23.1602,1.0507,0.3139,-0.0141,15.85,0.509,0.0262,0.0271,2.4986,0.869,20.5674,264.272
X0,64.9,143.5536,-9.4964,10.5359,23.77,29.4964,37.1656,1.068,-0.0978,-0.0032,15.8,0.185,0.072,0.0938,2.0119,0.7574,86.8217,261.33
X0,68.2222,126.4109,28.7064,10.2716,5.8827,11.2936,15.0708,1.0488,0.0447,-0.0047,15.74,0.358,0.06,0.0529,1.5644,0.8446,77.2118,262.98
X0,73.6222,145.7136,-3.4327,10.2537,15.9342,23.4327,31.2905,0.4864,-0.1948,-0.0122,15.73,0.578,0.045,0.03,2.8691,0.481,27.1326,282.424
X0,69.4222,144.7855,-0.81,10.1909,13.4236,20.81,29.1501,0.8527,-0.2807,-0.0059,15.74,0.222,0.0307,0.0936,5.0746,1.0135,66.6667,264.958
X0,66.4444,150.5409,3.1136,10.6248,23.1546,35.0255,47.381100000000004,1.1254,0.3356,-0.0094,15.84,0.169,0.0768,0.0257,3.3214,0.9059,50,247.164
X0,74.7,145.3527,-2.5945,10.2442,6.7378,22.5945,27.401,0.84,-0.417,-0.0121,15.86,0.662,0.0496,0.0845,1.6733,0.5669,44.4444,264.272
X0,72.3778,136.2009,1.04,10.6138,18.1582,18.96,26.2629,0.9013,-0.0626,-0.0111,15.75,0.626,0.12,0.0353,1.3516,0.8571,36.8126,264.272
X0,72.4333,125.5727,1.4418,10.7179,13.22,18.5582,25.1014,0.9181,-0.0815,-0.0144,15.75,0.509,0.0779,0.161,2.0476,1.0359,24.2845,251.438
X0,69.0889,140.05,-2.2191,10.2811,15.7345,22.2191,28.3474,0.8762,-0.1766,-0.0103,15.79,0.327,0.0473,0.1017,2.1802,0.6641,20.3144,269.424
X0,73.1222,145.9573,-6.6618,10.3557,8.8239,26.6618,33.4282,1.0312,-0.0111,-0.0109,15.65,0.361,0.0583,0.1103,2.5969,0.5765,33.9061,265.304
X0,67.1222,149.3436,-10.4455,10.5455,22.38,30.4455,40.4031,0.8782,0.0559,-0.0097,15.47,0.787,0.1257,0.0312,2.3921,0.6163,36.2225,264.272
X0,68.2,128.0155,2.8245,10.5182,11.9663,17.1755,23.8635,1.092,0.0168,-0.01,15.9,0.123,0.0792,0.0848,2.0239,0.7928,36,268.032
X0,68.9556,137.1045,-0.3236,10.4302,10.2582,20.3236,24.2157,1.0326,-1e-4,-0.0118,15.72,0.124,0.0697,0.0658,1.6014,0.7642,33.9703,263.058
X0,66.9778,121.6891,27.7364,10.3957,11.4437,12.2636,19.7743,0.8439,0.2893,-0.0066,15.74,0.258,0.06,0.0754,2.2563,0.8735,85.3333,265.482
X0,66.6556,137.0064,8.9073,10.7035,19.1182,31.0927,37.0683,1.126,-0.1593,-0.0078,15.76,0.339,0.0634,0.0969,2.359,1.1869,35.7827,264.272
X0,67.5222,137.8755,3.1418,10.1931,7.673,16.8582,21.5151,0.837,-0.0699,-0.0103,15.67,0.13,0.0691,0.1019,1.856,0.811,70.8738,264.272
X0,67.4,130.0436,3.8936,10.5782,13.8836,16.1064,23.3059,1.1167,-0.2918,-0.0126,15.85,0.152,0.0645,0.0938,2.4703,0.687,72.8713,265.816
X0,73.6333,141.2491,0.6055,10.2231,8.3091,19.3945,26.314,0.8437,-0.0854,-0.0116,15.56,0.423,0.0852,0.1104,2.1216,0.9525,64.5161,264.272
X0,66.4444,150.5409,3.1136,10.6248,23.1546,35.0255,47.381100000000004,1.1254,0.3356,-0.0094,15.84,0.169,0.0768,0.0257,3.3214,0.9059,50,247.164
X0,62.2889,125.5936,-2.4636,10.9095,21.26,22.4636,30.3538,1.0049,0.0037,-0.0082,15.87,0.425,0.075,0.0759,1.6958,0.7162,70.5167,259.196
X0,72.2778,129.3227,0.5218,10.5449,8.2525,19.4782,25.1003,1.0039,0.288,-0.0093,15.75,0.435,0.0779,0.0875,1.4113,1.0541,49.1979,251.218
X0,61.7667,129.5355,27.6655,10.2375,14.18,12.3345,18.6255,1.0068,-0.0428,-0.0051,15.76,0.246,0.0625,0.0603,1.9457,0.4221,101.4634,264.272
X0,74.7222,140.2045,-1.4609,10.5291,15.53,21.4609,28.8331,0.9119,0.2264,-0.0119,15.73,0.484,0.0461,0.0311,3.135,0.9329,38.6555,264.272
X0,65.9556,140.1782,-9.2836,10.5601,22.15,29.2836,39.6517,0.9581,-0.2303,-0.0034,15.78,0.138,0.0921,0.0871,2.3042,0.7574,162.3188,259.52
X0,69.5111,137.2627,-2.5345,10.4944,13.4082,22.5345,29.8877,0.8626,0.0733,-0.0128,15.71,0.26,0.1041,0.1088,1.5726,0.9332,47.7495,251.872
X0,67.7889,139.6609,2.0609,10.3518,12.9186,17.9391,23.7857,1.0412,-0.0064,-0.0078,15.77,0.314,0.0377,0.0791,1.763,1.2364,77.707,264.82
X0,67.3667,131.5155,3.36,10.4435,15.4055,16.64,25.3734,0.9857,-0.4581,-0.0144,15.77,0.351,0.0446,0.0811,2.7846,0.5799,45.8732,264.272
X0,73.3,139.59,5.1773,10.3115,8.6617,14.8227,21.0858,1.0894,-0.1481,-0.0075,15.72,0.346,0.0697,0.1047,2.3568,0.9726,60.1002,247.852
X0,72.3,143.2164,2.0318,10.2384,6.2829,17.9682,21.6831,0.7766,-0.0325,-0.0101,15.77,0.422,0.1283,0.1065,2.1479,0.5317,23.7037,253.17
X0,69.0444,146.6436,-1.7609,9.774,12.8948,21.7609,31.1484,0.9017,-0.099,-0.0089,15.96,0.834,0.0343,0.0868,4.6373,0.604,22.4404,250.544
X0,70.1889,129.8755,-0.8964,10.76,16.1773,20.8964,25.5848,0.9738,-0.1395,-0.0099,15.91,0.597,0.039,0.0924,2.0923,0.604,59.8226,250.234
X0,65.6,141.2673,-5.1391,10.2103,10.1337,25.1391,31.0753,1.0258,0.1517,-0.0109,15.74,0.608,0.0648,0.1062,2.2019,0.9072,53.211,271.564
X0,65.7,138.49,-1.2427,10.3441,20.5354,21.2427,32.4053,0.8227,-0.1381,-0.0133,15.9,0.181,0.0372,0.1062,2.3779,0.9072,35.272,256.598
X0,67.4778,136.5209,0.7227,9.845,10.3116,19.2773,24.1852,1.0078,-0.4514,-0.015,15.89,0.134,0.0334,0.0858,1.4806,0.78,37.2712,264.272
X0,74.9222,141.3709,-1.97,10.2439,11.5518,21.97,27.9713,0.8699,0.0485,-0.0111,15.75,0.458,0.1336,0.0863,1.2915,0.481,27.8652,256.778
X0,70.0778,134.0473,0.8873,10.3899,11.9155,19.1127,24.7257,0.8556,0.1866,-0.005,15.88,0.122,0.0608,0.1003,1.7009,0.9251,60.3015,264.272
X0,74.0556,144.7727,-3.6145,10.176,6.9536,23.6145,28.9017,0.8958,0.1432,-0.0151,15.75,0.598,0.1032,0.0807,1.5874,0.9276,39.6694,264.272
X0,60.1111,128.4982,-6.8555,11.0363,26.1591,26.8555,33.4081,1.0084,0.0601,-0.0121,15.73,0.548,0.0767,0.086,3.0072,0.8041,22.268,266.394
X0,67.1,130.0345,3.2764,10.483,15.1018,16.7236,23.8465,1.1264,-0.2265,-0.0075,15.99,0.419,0.0305,0.1012,2.6277,0.7153,81.3333,264.272
X0,66.7222,132.6309,-1.6545,10.5715,15.9918,21.6545,29.9145,1.0238,0.2755,-0.0066,15.72,0.45,0.092,0.0816,2.7673,1.2364,80,259.064
X0,69.5111,137.2627,-2.5345,10.4944,13.4082,22.5345,29.8877,0.8626,0.0733,-0.0128,15.71,0.26,0.1041,0.1088,1.5726,0.9332,47.7495,251.872
X0,64.0778,125.9,0.6782,10.7035,16.6618,19.3218,27.7301,0.9699,0.0444,-0.0078,15.9,0.363,0.0284,0.077,1.939,0.6302,50.0803,261.714
X0,68.4556,146.8091,-2.0327,10.3244,11.9366,22.0327,25.7305,1.0651,-0.2787,-0.0124,15.84,0.956,0.0316,0.03,2.518,0.4254,33.0312,280.32
X0,69.8111,123.9455,3.6809,10.798,7.6719,16.3191,19.1895,0.9328,-0.0089,-0.0123,15.93,0.534,0.1189,0.0818,1.7714,0.746,41.5902,256.598
X0,75.8667,131.7664,4.0809,10.4983,13.4254,15.9191,19.9076,1.0244,-0.1443,-0.0114,15.73,0.413,0.0923,0.1061,1.1728,0.7506,31.7181,264.272
X0,63.9222,133.5582,1.1591,10.3024,14.6254,18.8409,26.7301,0.882,0.1022,-0.0099,15.82,0.093,0.0778,0.0994,3.415,0.9255,56.6372,248.124
X0,68.6111,137.3782,-3.1255,10.3855,14.3518,23.1255,30.4987,0.9259,0.2404,-0.0129,15.71,0.651,0.1041,0.1088,1.8023,0.9332,20.9709,264.272
X0,63.8889,144.3518,14.9018,10.3225,10.7173,25.0982,31.5354,1.1306,0.1403,-0.0075,15.87,0.231,0.0624,0.0246,3.3177,0.5593,34.6667,260.72
X0,65.1667,132.9436,18.2809,10.5395,22.6964,21.7191,29.8969,1.0279,0,-0.0053,15.83,0.411,0.0286,0.0714,2.0287,1.0803,89.9297,264.034
X0,66.0667,129.5082,27.3227,10.4465,6.612,12.6773,15.8496,1.0227,0.1083,-0.0083,15.87,0.401,0.0624,0.0968,1.5437,0.9413,34.7826,249.254
X0,63.9889,130.7782,-15.5318,11.0064,29.7382,35.5318,42.2686,1.0013,-0.2972,-0.0039,15.71,0.213,0.0758,0.0801,1.3677,0.8384,167.2026,260.452
X0,66.6111,140.0282,-0.8436,10.283,12.65,20.8436,26.4708,0.8514,-0.2182,-0.0095,15.73,0.65,0.1064,0.1017,2.8553,0.6161,15.8103,264.272
X0,67.5556,126.4036,0.7636,10.7073,17.1809,19.2364,26.0317,0.9986,0,-0.013,15.91,0.373,0.1149,0.0913,2.2191,0.6335,35.3846,261.4
X0,68.6444,125.2091,29.5109,10.3622,11.360900000000001,10.4891,16.8198,0.9794,-0.0475,-0.0098,16.05,0.516,0.0381,0.077,1.6795,0.5279,49.1677,279.274
X0,74.4444,134.5873,1.1627,10.444,17.0691,18.8373,27.6476,0.9325,-0.0965,-0.0131,15.72,0.278,0.0697,0.0656,3.3065,0.9726,37.3333,264.272
X0,72.2667,158.9564,-8.6982,10.1859,14.9327,28.6982,36.5743,0.9744,-0.2994,-0.0102,15.88,0.108,0.0341,0.0366,2.6675,0.9383,26.4059,250.694
X0,69.4222,138.6855,0.1873,10.285,6.4632,19.8127,26.0522,0.8603,0.0469,-0.0137,15.8,0.625,0.0942,0.0686,1.7606,0.6641,27.8134,268.152
X0,70.9556,123.7427,5.4191,10.7021,17.0436,14.5809,21.3926,1.0369,-0.3085,-0.0092,15.83,0.139,0.0795,0.0803,1.8334,0.8235,44.3243,247.764
X0,74.3444,142.4082,-6.5282,10.4622,19.6091,26.5282,34.3403,0.8614,0.0431,-0.011,15.7,0.484,0.0603,0.1043,1.4578,0.8047,19.1126,269.17
X0,73.6889,126.8636,1.6309,10.7405,16.1182,18.3691,23.7598,1.0591,-0.1571,-0.0074,15.66,0.433,0.0733,0.0662,3.0428,0.8161,41.8919,264.272
X0,70.5111,130.8555,-0.5336,10.6115,11.3091,20.5336,26.5653,0.9851,-0.1106,-0.014,15.75,0.335,0.0779,0.0881,2.5195,0.8336,30.0806,264.272
X0,62.9667,129.2255,23.5609,10.3551,16.67,16.4391,24.1144,1.0692,-0.1702,-0.0053,15.79,0.237,0.0836,0.0785,1.7575,0.6641,78.6885,260.452
X0,67.7556,129.3018,4.1455,10.1576,13.9697,15.8545,20.187,1.053,-0.2895,-0.0075,15.88,0.421,0.0341,0.0858,1.826,0.9361,92.4623,264.272
X0,60.8444,135.5909,8.3045,10.7468,25.1263,31.6955,41.5512,1.0333,-0.0179,-0.0068,15.83,0.105,0.0198,0.0779,2.1769,0.9368,76.8946,275.65
X0,73.2,142.56,-1.0982,10.3685,10.2756,21.0982,26.3762,0.8674,-0.0494,-0.0097,15.96,0.372,0.0273,0.085,1.8021,0.6385,44.4444,264.272
X0,66.2778,142.0764,14.4382,10.4473,15.9709,25.5618,32.4142,0.9949,0.1484,-0.0091,15.9,0.196,0.0792,0.0257,3.9876,1.0047,73.5254,267.928
X0,70.5444,143.9218,1,10.2108,13.9936,19,27.9356,0.5174,-0.1453,-0.0145,15.52,0.507,0.1192,0.0839,1.501,0.679,31.0345,264.272
X0,72.1889,129.95,3.2173,10.3895,6.8718,16.7827,22.0794,0.8993,-5e-4,-0.0129,15.69,0.92,0.0692,0.1003,2.214,0.8659,44.3149,275.108
X0,73.3778,144.2236,-3.65,10.2392,6.2481,23.65,28.6073,1.068,0.2377,-0.0122,15.77,0.301,0.0711,0.1103,2.5175,0.5779,18.7755,247.772
X0,65.1333,147.8555,0.2818,9.7625,11.4596,19.7182,26.9505,0.9275,0.1293,-0.01,15.77,0.448,0.0377,0.0852,1.995,0.5888,49.2462,262.98
X0,59.4,127.4718,2.9964,10.4924,8.4209,17.0036,22.4415,0.88,0.0886,-0.0113,15.75,0.201,0.0679,0.0998,1.907,0.8041,51.4412,264.272
X0,71.4111,134.6518,6.2755,10.3418,6.3147,13.7245,17.8138,0.8514,0.0346,-0.013,15.7,0.53,0.0923,0.1058,1.5402,0.9075,37.0299,264.272
X0,72.9667,144.0964,0.2236,10.093,11.3066,19.7764,25.9046,0.8475,-0.3112,-0.008,16.01,0.713,0.0349,0.1,1.5323,0.8076,73.5202,255.872
X0,72.5667,138.1264,-0.2709,10.5896,10.4146,20.2709,25.1055,0.8523,-0.143,-0.0098,15.56,0.172,0.0838,0.0324,1.359,0.9066,35.8056,253.892
X0,68.2222,126.4109,28.7064,10.2716,5.8827,11.2936,15.0708,1.0488,0.0447,-0.0047,15.74,0.358,0.06,0.0529,1.5644,0.8446,77.2118,262.98
X0,72.7556,141.7891,-3.9073,10.3362,14.3964,23.9073,30.5276,0.9406,0.0676,-0.0124,15.77,0.116,0.0916,0.1005,2.7036,0.8758,55.814,261.868
X0,71.5444,141.6436,-0.9945,10.3676,15.8782,20.9945,27.0475,1.2624,0.1969,-0.0132,15.82,0.302,0.1213,0.1065,2.5697,1.0541,24.3115,272.668
X0,73.5667,124.5645,3.0345,10.7175,14.6927,16.9655,21.3048,1.0219,0.0731,-0.0115,15.8,0.359,0.0911,0.085,2.7085,0.7558,34.8964,247.312
X0,73.6667,134.4773,3.0718,10.4942,14.9345,16.9282,24.0276,0.897,-0.0391,-0.0113,15.75,0.454,0.12,0.0851,2.6898,0.6385,34.6667,270.158
X0,73.9778,133.0455,2.8109,10.4126,10.9182,17.1891,22.2064,0.8065,-0.1591,-0.0093,15.7,0.675,0.0609,0.0752,2.5551,0.656,58.9023,264.272
X0,68.5556,141.9573,-5.8564,10.326,16.0836,25.8564,33.7075,0.9272,0.0793,-0.0039,15.7,0.594,0.0564,0.1043,2.6277,0.7719,20.7885,264.272
X0,67.2778,141.0627,2.2982,10.2446,12.6864,17.7018,22.9551,0.9647,-0.1255,-0.0138,15.71,0.404,0.0665,0.0861,2.6086,0.593,55.7971,266.644
X0,75.1667,135.6736,0.77,10.4202,10.1236,19.23,22.8057,0.8774,0.0664,-0.0115,15.75,0.481,0.0605,0.0851,1.9009,0.9136,21.7391,248.014
X0,72.3778,132.0264,-1.79,10.5575,9.8464,21.79,27.6339,1.0242,0.0013,-0.0136,15.77,0.575,0.0711,0.0841,1.1528,0.7558,30.0366,265.89
X0,73.1222,140.1255,2.7927,10.3662,9.7528,17.2073,21.2465,1.4075,0.1327,-0.0091,15.87,0.566,0.0216,0.0911,1.8276,0.7233,56.044,253.314
X0,74.7,145.3527,-2.5945,10.2442,6.7378,22.5945,27.401,0.84,-0.417,-0.0121,15.86,0.662,0.0496,0.0845,1.6733,0.5669,44.4444,264.272
X0,70.2444,124.2764,5.6627,10.6081,5.782,14.3373,18.4428,0.9588,0.0741,-0.0141,15.93,0.218,0.1189,0.0849,1.567,0.746,25.6,257.634
X0,73.9333,128.1473,4.9845,10.6068,13.7063,16.733,19.2998,1.0986,0,-0.0127,15.71,0.262,0.0743,0.101,1.7493,0.8304,49.6063,249.366
X0,71.9111,139.6155,-2.0655,10.359,9.4297,22.0655,27.4762,0.9006,-0.0313,-0.0125,15.93,0.376,0.1161,0.0812,1.9484,1.0404,29.6,264.272
X0,70.5111,142.8273,-1.2209,10.2418,15.5682,21.2209,30.0565,0.9133,0.2355,-0.0126,15.75,0.683,0.044,0.0848,2.5449,0.5377,26.2425,272.668
X0,70.9889,122.2509,4.9118,10.751,12.68,15.0882,19.2834,1.0171,-0.0185,-0.0114,15.73,0.292,0.044,0.085,2.5103,0.7655,30.837,264.272
X0,74.0667,147.6345,-1.9727,10.0174,12.0643,21.9727,29.0827,0.8451,0.3114,-0.012,16.07,0.533,0.031,0.1,1.2355,0.8076,53.3333,264.272
X0,69.0667,130.6091,4.9382,10.5235,12.0709,15.0618,18.8532,1.1754,-0.0382,-0.0103,15.75,0.518,0.12,0.0851,2.0492,0.6242,39.7094,273.856
X0,76.3778,131.36,-1.7818,10.7942,19.2891,21.7818,28.9752,0.9257,0.2245,-0.0119,15.75,0.619,0.1336,0.0319,2.1375,0.4744,21.8258,256.318
X0,67.7,129.3809,-8.4836,10.8948,25.9427,28.4836,38.0547,0.9339,0.1731,-0.005,15.92,0.09,0.0686,0.0823,2.9583,0.8384,57.4257,264.802
X0,68.1444,133.5273,4.9991,10.1448,12.8118,15.0009,22.588,1.0013,0.2506,-0.0046,15.87,0.393,0.0768,0.084,3.0161,0.8343,109.2896,247.13
X0,68.4111,141.4736,4.9336,9.8421,9.1691,15.0664,24.1408,0.583,-0.0416,-0.0099,15.73,0.684,0.045,0.0924,2.3678,0.4782,62.9442,264.272
X0,67.0556,132.2518,4.1509,10.2891,13.5327,15.8491,23.5582,0.9758,0.1477,-0.0044,15.85,0.631,0.0645,0.084,2.2828,0.8343,122.7273,247.374
X0,68.3444,125.7709,22.4345,10.5694,16.2955,17.5655,25.4333,0.9251,0,-0.0054,15.83,0.471,0.0286,0.0759,2.8337,1.0407,102.3256,263.794
X0,68.2556,134.7336,2.0173,10.4807,15.9991,17.9827,24.4746,1.0507,-0.0127,-0.0099,15.88,0.418,0.0341,0.0786,2.5787,0.7593,42.3174,267.986
X0,68.7222,145.5582,-3.0909,10.1061,13.4927,23.0909,30.5174,0.8396,0.0017,-0.0053,15.69,0.638,0.1275,0.1124,3.0975,0.8532,81.3239,264.272
X0,65.0778,144.2682,-2.6355,10.2189,18.5573,22.6355,34.0617,0.7936,0.0289,-0.0103,15.74,0.603,0.0648,0.1062,2.922,0.9163,51.5188,248.962
X0,68.9444,133.5209,2.43,10.4874,7.5635,17.57,22.2242,1.022,0.0967,-0.0082,15.93,0.524,0.0476,0.1017,1.5772,0.9735,48.5584,264.272
X0,70.6,135.1691,0.9827,10.6052,12.2955,19.0173,24.2367,0.8967,0.3575,-0.0106,15.85,0.123,0.057,0.0652,2.6909,0.9735,63.0588,264.272
X0,69.9111,139.2373,3.7127,10.1885,9.5027,16.2873,22.2294,1.3572,-0.3171,-0.0059,15.95,0.229,0.0215,0.0796,2.4131,0.9251,68.0315,265.646
X0,70.0111,133.3809,1.0309,10.4521,11.6591,18.9691,21.9517,1.1766,-0.3103,-0.0127,15.77,0.424,0.0711,0.0892,2.5025,0.7159,40.1575,261.094
X0,75.5778,139.48,1.8109,10.3374,13.62,18.1891,23.7805,1.0625,-0.0195,-0.0128,15.86,0.361,0.0496,0.089,2.7887,0.7193,45.4012,264.272
X0,63.1444,131.8391,16.5255,10.6816,24.1954,23.4745,32.6465,1.0464,-0.1166,-0.0017,15.74,0.322,0.0746,0.0734,1.7499,0.6901,58.5714,265.584
X0,75.4556,124.8627,3.9027,10.7133,18.119,16.0973,22.7626,1.023,-0.0888,-0.0106,15.66,0.419,0.0733,0.0662,3.4236,0.8161,33.9223,264.272
X0,65.5,131.3782,-10.6036,10.8208,19.0246,30.6036,37.0555,0.9926,-0.083,-0.0089,15.82,0.142,0.0556,0.0969,3.1084,0.9059,56.4972,265.646
X0,71.9111,139.6155,-2.0655,10.359,9.4297,22.0655,27.4762,0.9006,-0.0313,-0.0125,15.93,0.376,0.1161,0.0812,1.9484,1.0404,29.6,264.272
X0,68.1333,142.8709,1.7991,9.8666,11.8073,18.2009,25.9351,0.8737,-0.0147,-0.0103,15.95,0.168,0.0362,0.0887,1.4454,0.7642,32.0388,271.274
X0,68.6667,140.4845,-6.3391,10.4087,14.1363,26.3391,34.2074,0.8779,0.0627,-0.0113,15.72,0.302,0.0619,0.1087,1.2924,0.8859,35.3201,264.272
X0,76.3333,147.6627,0.5536,10.0338,10.3957,19.4464,24.5095,0.8307,-0.1483,-0.0085,15.98,0.396,0.0322,0.1017,1.3925,0.7193,29.4551,267.228
X0,76.3778,131.36,-1.7818,10.7942,19.2891,21.7818,28.9752,0.9257,0.2245,-0.0119,15.75,0.619,0.1336,0.0319,2.1375,0.4744,21.8258,256.318
X0,71.4444,144.98,6.3691,9.975,12.8879,13.6309,19.6579,1.0019,-0.0479,-0.0097,15.99,0.432,0.0341,0.0816,1.4322,0.5377,74.5149,264.272
X0,63.1333,134.3664,12.0945,10.754,20.0673,27.9055,36.6103,0.9556,-0.0999,-0.0071,15.9,0.128,0.0284,0.0768,2.3972,1.0459,41.0619,254.134
X0,66.2778,145.0536,18.8673,10.2366,11.9646,21.1327,26.8975,1.0848,0.0466,-0.0066,15.96,0.119,0.0963,0.0949,3.1074,0.5593,37.594,264.984
X0,69.5222,144.2891,-3.6036,10.3239,14.47,23.6036,27.7087,1.5031,-0.0169,-0.0102,15.74,0.345,0.0256,0.0323,3.1044,0.7534,74.4186,272.336
X0,69.9333,126.18,0.3764,10.7052,14.6145,19.6236,24.847,1.0203,-0.0903,-0.0052,15.8,0.359,0.0993,0.0529,1.4101,1.148,69.0647,243.316
X0,67.4778,132.9127,1.47,10.7118,18.4328,18.53,24.4,1.0832,0.0808,-0.0111,15.71,0.525,0.0894,0.0345,2.3507,0.6641,33.3333,264.272
X0,66.7111,127.3373,29.1164,10.1586,10.4873,10.8836,17.7568,0.8446,0.1224,-0.0056,15.8,0.178,0.0699,0.0778,2.6404,0.8735,66.5169,265.82
X0,67.9444,140.8964,-6.0455,10.4929,18.1764,26.0455,33.9495,0.8862,0.2392,-0.0123,15.76,0.447,0.0981,0.0816,1.688,0.6161,30.1733,264.272
X0,69.1333,139.1155,1.77,10.2281,11.8157,18.23,25.7166,0.9986,0.3228,-0.0092,15.82,0.454,0.0556,0.0782,1.8665,0.7663,53.406,254.134
X0,68.9333,145.5036,-1.2991,10.3151,6.7864,21.2991,25.7035,0.8216,-0.3834,-0.0146,15.7,0.679,0.1107,0.0842,1.4801,0.7258,21.3058,264.272
X0,68.9,136.8,-1.0573,10.4913,18.1719,21.0573,29.012,1.1229,0.0652,-0.012,15.97,0.355,0.0413,0.0775,1.3666,0.7643,62.7615,250.8
X0,76.9333,132.2718,0.7382,10.4636,16.4427,19.2618,24.7756,1.1623000000000001,-0.0724,-0.0118,15.65,0.566,0.0583,0.091,2.7265,0.8595,33.9343,266.454
X0,66.1444,134.8391,4.9073,10.0705,14.6155,15.0927,22.6375,0.8336,0.4349,-0.0072,15.96,0.187,0.0343,0.0887,2.266,0.9826,68.1739,251.854
X0,68.1333,133.8964,-0.2627,10.5364,10.1343,20.2627,24.7094,0.9086,0.0915,-0.0115,15.83,0.56,0.1053,0.1058,1.2803,0.5284,39.0033,257.312
X0,66.7889,133.6891,-1.02,10.536,11.7263,21.02,24.7298,1.504,0.0982,-0.0088,15.6,0.536,0.1073,0.0894,1.8277,0.5194,64.7727,264.272
X0,66.9,147.69,-2.6673,9.7782,11.7536,22.6673,31.016,0.8572,0.0425,-0.0109,15.95,0.443,0.0357,0.0855,5.5925,0.8231,65.9039,252.2
X0,68.1333,133.8964,-0.2627,10.5364,10.1343,20.2627,24.7094,0.9086,0.0915,-0.0115,15.83,0.56,0.1053,0.1058,1.2803,0.5284,39.0033,257.312
X0,67.6556,128.1755,0.5609,10.6871,16.4646,19.4391,27.1415,0.9478,0.0433,-0.0104,15.75,0.165,0.0318,0.0913,1.2354,0.8716,19.2308,264.272
X0,69.3778,142.6145,3.6664,10.0451,9.8418,16.3336,21.3671,0.9487,-0.1124,-0.0126,15.63,0.11,0.0814,0.0819,1.2959,0.7532,30.1288,266.28
